"","V1","preds","genes","ModelID","StrippedCellLineName","LN_IC50"
"203",600417,0.71572155,"MDM2","ACH-000142","CAL29",5.690022
"204",605117,0.7550548,"MDM2","ACH-000585","EPLC272H",5.719342
"205",607467,0.8319113,"MDM2","ACH-000223","HCC1937",5.903577
"206",609817,0.9273073,"MDM2","ACH-000969","KM12",6.259171
"207",614517,0.8247053,"MDM2","ACH-000373","SKM1",4.551481
"208",616867,0.6474855,"MDM2","ACH-000688","OV7",4.694694
"209",621567,0.7219929,"MDM2","ACH-000103","CAOV4",7.111493
"210",626267,0.81382555,"MDM2","ACH-000371","RL",4.968341
"211",628617,0.6046785,"MDM2","ACH-000161","CORL105",3.208667
"212",633317,0.8491963,"MDM2","ACH-000145","SKLMS1",5.537859
"213",635667,0.8446341,"MDM2","ACH-000724","HT1376",6.639113
"214",640367,0.58137417,"MDM2","ACH-000149","SKNSH",1.57518
"215",642717,0.8069178,"MDM2","ACH-000264","CALU6",6.330506
"216",647417,0.7561845,"MDM2","ACH-000767","NCIH526",4.799553
"217",649767,0.8318237,"MDM2","ACH-000738","GB1",6.358496
"218",652117,0.65757585,"MDM2","ACH-000183","L363",3.949906
"219",654467,0.65678394,"MDM2","ACH-000311","NCIH2122",4.012991
"220",656817,0.74953395,"MDM2","ACH-000973","639V",4.821859
"221",659167,0.85063934,"MDM2","ACH-000352","HCC1428",7.618017
"222",661517,0.84863573,"MDM2","ACH-000343","NCIH522",5.043021
"223",663867,0.63316214,"MDM2","ACH-000719","RMGI",6.539618
"224",666217,0.7271326,"MDM2","ACH-000991","SNU81",5.378716
"225",668567,0.7808364,"MDM2","ACH-000505","RKN",5.554709
"226",670917,0.7866971,"MDM2","ACH-000667","HCC44",5.170742
"227",675617,0.5055536,"MDM2","ACH-000620","JHH1",5.558781
"228",685017,0.47583142,"MDM2","ACH-000677","SW1573",5.181122
"229",687367,0.6324446,"MDM2","ACH-000226","SUPM2",0.391775
"230",692067,0.66156024,"MDM2","ACH-000074","KU812",3.292816
"231",694417,0.84020275,"MDM2","ACH-000654","RAJI",4.322608
"232",696767,0.6834228,"MDM2","ACH-000971","HCT116",1.90209
"233",701467,0.5751741,"MDM2","ACH-000450","MELHO",3.329857
"234",706167,0.7743037,"MDM2","ACH-000976","HUCCT1",5.694843
"235",710867,0.78291976,"MDM2","ACH-000345","KPNRTBM1",1.190047
"236",715567,0.8538052,"MDM2","ACH-000601","MIAPACA2",5.798266
"237",717917,0.89488417,"MDM2","ACH-000962","OC314",4.948278
"238",720267,0.80633086,"MDM2","ACH-000470","SW1463",5.511687
"239",724967,0.7326771,"MDM2","ACH-000938","NALM6",0.718258
"240",727317,0.7294614,"MDM2","ACH-000648","NCIH28",3.91402
"241",732017,0.61993927,"MDM2","ACH-000374","HCC1143",6.153201
"242",734367,0.69422,"MDM2","ACH-000375","G402",1.618422
"243",736717,0.8161912,"MDM2","ACH-000472","HSC2",5.127038
"244",739067,0.76783496,"MDM2","ACH-000410","SAOS2",4.836861
"245",741417,0.4770279,"MDM2","ACH-000748","SJSA1",0.752197
"246",746117,0.6529553,"MDM2","ACH-000896","647V",5.218272
"247",748467,0.6830423,"MDM2","ACH-000420","SNU449",6.493982
"248",750817,0.65888655,"MDM2","ACH-000817","RPMI8226",4.636202
"249",755517,0.69146,"MDM2","ACH-000950","LOVO",0.977489
"250",757867,0.6903048,"MDM2","ACH-000330","EFM19",5.538242
"251",760217,0.6603574,"MDM2","ACH-000547","HT1197",2.507427
"252",764917,0.78802925,"MDM2","ACH-000524","KURAMOCHI",6.804527
"253",767267,0.7856785,"MDM2","ACH-000565","RCM1",7.323537
"254",771967,0.6834286,"MDM2","ACH-000147","T47D",4.335964
"255",774317,0.71720797,"MDM2","ACH-000138","CFPAC1",6.238006
"256",776667,0.77370095,"MDM2","ACH-000516","CAL78",5.463726
"257",779017,0.88890743,"MDM2","ACH-000793","KATOIII",7.37972
"258",781367,0.7862203,"MDM2","ACH-000699","HCC1395",4.876951
"259",783717,0.6189709,"MDM2","ACH-000365","SUDHL4",4.154616
"260",786067,0.9200865,"MDM2","ACH-000651","SW620",6.940228
"261",788417,0.7440706,"MDM2","ACH-000115","VCAP",5.451359
"262",790767,0.60157037,"MDM2","ACH-000099","SIMA",1.745885
"263",795467,0.769315,"MDM2","ACH-000879","MFE296",4.650307
"264",797817,0.49626288,"MDM2","ACH-000362","MOLM13",-0.868025
"265",800167,0.8471563,"MDM2","ACH-000207","DETROIT562",5.09277
"266",804867,0.8182058,"MDM2","ACH-000855","KYSE150",5.338818
"267",807217,0.2331218,"MDM2","ACH-000425","UACC62",3.464342
"268",809567,0.78805465,"MDM2","ACH-000366","SKNDZ",4.033656
"269",814267,0.82881457,"MDM2","ACH-000696","OVCAR8",5.126842
"270",816617,0.72518134,"MDM2","ACH-000826","CAL12T",4.147917
"271",821317,0.7852385,"MDM2","ACH-000187","CORL311",5.346704
"272",823667,0.75944734,"MDM2","ACH-000980","NCIH1155",4.493093
"273",830717,0.8827414,"MDM2","ACH-000809","KYSE410",6.791674
"274",833067,0.73941207,"MDM2","ACH-000326","JURLMK1",3.745618
"275",835417,0.8400033,"MDM2","ACH-000662","CORL23",4.924587
"276",837767,0.78115743,"MDM2","ACH-000227","KPNYN",2.528026
"277",840117,0.83713144,"MDM2","ACH-000192","MFE280",6.535942
"278",842467,0.5651568,"MDM2","ACH-000607","KYM1",0.753212
"279",844817,0.74271953,"MDM2","ACH-000094","HPAFII",5.834706
"280",847167,0.65314305,"MDM2","ACH-000776","ONS76",4.62014
"281",851867,0.87328094,"MDM2","ACH-000554","UACC893",5.256104
"282",856567,0.8361725,"MDM2","ACH-000546","HSC4",4.906594
"283",858917,0.7639102,"MDM2","ACH-000213","HUPT4",5.478392
"284",863617,0.48508886,"MDM2","ACH-000124","OCILY19",-0.466257
"285",865967,0.75427246,"MDM2","ACH-000144","RERFGC1B",5.011917
"286",868317,0.8333339,"MDM2","ACH-000067","HS683",3.20818
"287",870667,0.60492265,"MDM2","ACH-000078","MHHNB11",0.850909
"288",873017,0.36396727,"MDM2","ACH-000247","OCUM1",0.857351
"289",875367,0.84591776,"MDM2","ACH-000596","LCLC97TM1",5.725746
"290",880067,0.8017643,"MDM2","ACH-000905","5637",5.086789
"291",882417,0.80797315,"MDM2","ACH-000263","KASUMI1",4.250936
"292",884767,0.7840567,"MDM2","ACH-000619","PECAPJ15",4.633537
"293",889467,0.8623807,"MDM2","ACH-000315","KARPAS422",4.716177
"294",891817,0.5055654,"MDM2","ACH-000244","DKMG",0.886929
"295",894167,0.68910235,"MDM2","ACH-000174","CAL62",5.900137
"296",898867,0.78433836,"MDM2","ACH-000012","HCC827",6.196977
"297",901217,0.8051837,"MDM2","ACH-000756","GI1",4.613472
"298",903567,0.8500981,"MDM2","ACH-000573","MDAMB436",6.909493
"299",908267,0.8629521,"MDM2","ACH-000653","JJN3",4.194573
"300",917667,0.8587443,"MDM2","ACH-000861","HOP62",6.857538
"301",920017,0.8348844,"MDM2","ACH-000953","SUPT1",5.007147
"302",922367,0.82989836,"MDM2","ACH-000217","JHH6",7.101873
"303",924717,0.7769303,"MDM2","ACH-000100","RH41",3.70525
"304",927067,0.80507123,"MDM2","ACH-000381","T84",5.812877
"305",929417,0.6022347,"MDM2","ACH-000763","MM1S",1.574891
"306",938817,0.5914676,"MDM2","ACH-000189","RCC10RGB",3.928065
"307",941167,0.59582156,"MDM2","ACH-000364","U2OS",4.196246
"308",943517,0.7452623,"MDM2","ACH-000169","RD",5.689959
"309",950567,0.7173509,"MDM2","ACH-000663","OVTOKO",3.374481
"310",952917,0.87897635,"MDM2","ACH-000584","JHOS4",4.124255
"311",955267,0.8444184,"MDM2","ACH-000720","TCCSUP",6.01074
"312",962317,0.8496383,"MDM2","ACH-000865","KYSE450",5.390081
"313",967017,0.657456,"MDM2","ACH-000957","LS180",1.583407
"314",971717,0.75969946,"MDM2","ACH-000983","KCL22",3.778804
"315",974067,0.8014113,"MDM2","ACH-000915","IPC298",5.439217
"316",978767,0.7596128,"MDM2","ACH-000781","NCIH2023",5.202838
"317",981117,0.86117536,"MDM2","ACH-000824","KYSE510",5.097417
"318",983467,0.69178534,"MDM2","ACH-000273","SF539",4.763275
"319",988167,0.8642858,"MDM2","ACH-000442","RERFLCSQ1",4.73155
"320",990517,0.73085475,"MDM2","ACH-000869","NCIH1568",6.642449
"321",995217,0.80075765,"MDM2","ACH-000913","ESS1",4.610902
"322",999917,0.63454777,"MDM2","ACH-000652","SUIT2",6.247982
"323",1002267,0.7066103,"MDM2","ACH-000473","RT112",5.499489
"324",1004617,0.8753401,"MDM2","ACH-000886","NCIH2009",6.063875
"325",1006967,0.46766993,"MDM2","ACH-000304","WM115",2.730216
"326",1009317,0.52340114,"MDM2","ACH-000805","COLO679",4.181942
"327",1014017,0.82668537,"MDM2","ACH-000293","KLE",6.364323
"328",1021067,0.87584513,"MDM2","ACH-000876","MDAMB415",4.468658
"329",1025767,0.914335,"MDM2","ACH-000098","GAMG",5.157455
"330",1028117,0.78954303,"MDM2","ACH-000168","NOMO1",4.254187
"331",1030467,0.90064,"MDM2","ACH-000493","SNU423",5.109265
"332",1032817,0.52447474,"MDM2","ACH-000448","NCIH1666",3.92092
"333",1035167,0.8286348,"MDM2","ACH-000778","HSC3",4.978783
"334",1037517,0.7078715,"MDM2","ACH-000391","MHHES1",4.978231
"335",1039867,0.864327,"MDM2","ACH-000528","ABC1",5.47903
"336",1042217,0.7553464,"MDM2","ACH-000660","SUDHL5",0.782888
"337",1044567,0.79559743,"MDM2","ACH-000890","SW1271",7.272121
"338",1046917,0.36003816,"MDM2","ACH-000614","RVH421",4.904508
"339",1053967,0.80082387,"MDM2","ACH-000754","L428",4.752736
"340",1058667,0.3758827,"MDM2","ACH-000681","A549",1.928035
"341",1063367,0.86556,"MDM2","ACH-000295","EM2",4.140195
"342",1065717,0.5724867,"MDM2","ACH-000704","OAW42",4.863995
"343",1068067,0.6304406,"MDM2","ACH-000919","IM95",4.358802
"344",1070417,0.8539503,"MDM2","ACH-000656","SUDHL8",4.415276
"345",1072767,0.8254806,"MDM2","ACH-000939","SKUT1",4.751553
"346",1075117,0.7756802,"MDM2","ACH-000609","SF126",4.259802
"347",1077467,0.76571554,"MDM2","ACH-000376","SF295",5.501253
"348",1079817,0.8634448,"MDM2","ACH-000430","TYKNU",6.511694
"349",1082167,0.7898343,"MDM2","ACH-000276","HCC38",6.439522
"350",1084517,0.7906761,"MDM2","ACH-000616","HS746T",6.385965
"351",1086867,0.8004434,"MDM2","ACH-000319","MPP89",5.325396
"352",1089217,0.6538689,"MDM2","ACH-000269","AM38",3.791717
"353",1091567,0.86121017,"MDM2","ACH-000647","TE1",6.324899
"354",1096267,0.7252542,"MDM2","ACH-000570","YKG1",4.113528
"355",1098617,0.71158934,"MDM2","ACH-000323","42MGBA",5.526467
"356",1100967,0.6222861,"MDM2","ACH-000452","TE8",6.18059
"357",1105667,0.71919894,"MDM2","ACH-000943","RKO",2.67268
"358",1108017,0.6704447,"MDM2","ACH-000769","LK2",5.11815
"359",1110367,0.7326066,"MDM2","ACH-000188","SCC25",4.644222
"360",1112717,0.8143078,"MDM2","ACH-000567","ST486",3.909549
"361",1115067,0.80469877,"MDM2","ACH-000848","JHH7",6.293241
"362",1117417,0.70345414,"MDM2","ACH-000356","MKN45",2.25927
"363",1119767,0.77602553,"MDM2","ACH-000802","BFTC905",5.125519
"364",1122117,0.6650677,"MDM2","ACH-000092","NCIH2452",5.546547
"365",1124467,0.4667434,"MDM2","ACH-000885","TOV21G",2.67693
"366",1129167,0.87263733,"MDM2","ACH-000713","CAOV3",4.667733
"367",1131517,0.69473165,"MDM2","ACH-000911","NUGC3",6.60799
"368",1133867,0.37667108,"MDM2","ACH-000935","MDST8",2.211873
"369",1136217,0.5768929,"MDM2","ACH-000389","H4",0.41998
"370",1140917,0.77605027,"MDM2","ACH-000137","8MGBA",4.762701
"371",1143267,0.6065084,"MDM2","ACH-000932","SNU1",3.342858
"372",1145617,0.90391093,"MDM2","ACH-000853","NCIH661",5.082586
"373",1150317,0.7892669,"MDM2","ACH-000510","NCIH1299",5.276151
"374",1152667,0.36057663,"MDM2","ACH-000580","C32",4.668599
"375",1155017,0.5459019,"MDM2","ACH-000045","MV411",-0.362143
"376",1157367,0.8267127,"MDM2","ACH-000633","FU97",3.356416
"377",1162067,0.849227,"MDM2","ACH-000257","CORL279",5.585927
"378",1166767,0.82531697,"MDM2","ACH-000456","BCPAP",5.65474
"379",1169117,0.5380393,"MDM2","ACH-000960","REH",1.773844
"380",1171467,0.808521,"MDM2","ACH-000718","NCIH2291",6.859119
"381",1176167,0.8226157,"MDM2","ACH-000605","TE6",5.862641
