"","CCLE","ccls_1088_expression","GDSC2"
"3531",NA,NA,"ACH-002093"
"3532",NA,NA,"ACH-000249"
"3533",NA,NA,"ACH-002099"
"3534",NA,NA,"ACH-000243"
"3535",NA,NA,"ACH-000117"
"3536",NA,NA,"ACH-000633"
"3537",NA,NA,"ACH-000082"
"3538",NA,NA,"ACH-000352"
"3539",NA,NA,"ACH-000562"
"3540",NA,NA,"ACH-000643"
"3541",NA,NA,"ACH-000105"
"3542",NA,NA,"ACH-000838"
"3543",NA,NA,"ACH-002095"
"3544",NA,NA,"ACH-000743"
"3545",NA,NA,"ACH-000981"
"3546",NA,NA,"ACH-000821"
"3547",NA,NA,"ACH-001498"
"3548",NA,NA,"ACH-001086"
"3549",NA,NA,"ACH-000270"
"3550",NA,NA,"ACH-000178"
"3551",NA,NA,"ACH-000814"
"3552",NA,NA,"ACH-000135"
"3553",NA,NA,"ACH-000475"
"3554",NA,NA,"ACH-000620"
"3555",NA,NA,"ACH-002251"
"3556",NA,NA,"ACH-000711"
"3557",NA,NA,"ACH-002147"
"3558",NA,NA,"ACH-000684"
"3559",NA,NA,"ACH-000250"
"3560",NA,NA,"ACH-001542"
"3561",NA,NA,"ACH-001107"
"3562",NA,NA,"ACH-000281"
"3563",NA,NA,"ACH-000108"
"3564",NA,NA,"ACH-002264"
"3565",NA,NA,"ACH-002156"
"3566",NA,NA,"ACH-000176"
"3567",NA,NA,"ACH-000852"
"3568",NA,NA,"ACH-000869"
"3569",NA,NA,"ACH-002170"
"3570",NA,NA,"ACH-000379"
"3571",NA,NA,"ACH-000929"
"3572",NA,NA,"ACH-001363"
"3573",NA,NA,"ACH-000924"
"3574",NA,NA,"ACH-000186"
"3575",NA,NA,"ACH-000674"
"3576",NA,NA,"ACH-000247"
"3577",NA,NA,"ACH-000544"
"3578",NA,NA,"ACH-001625"
"3579",NA,NA,"ACH-000663"
"3580",NA,NA,"ACH-000042"
"3581",NA,NA,"ACH-000235"
"3582",NA,NA,"ACH-000599"
"3583",NA,NA,"ACH-002295"
"3584",NA,NA,"ACH-002297"
"3585",NA,NA,"ACH-002186"
"3586",NA,NA,"ACH-000347"
"3587",NA,NA,"ACH-000482"
"3588",NA,NA,"ACH-000442"
"3589",NA,NA,"ACH-000505"
"3590",NA,NA,"ACH-001641"
"3591",NA,NA,"ACH-002305"
"3592",NA,NA,"ACH-002306"
"3593",NA,NA,"ACH-000890"
"3594",NA,NA,"ACH-002202"
"3595",NA,NA,"ACH-000048"
"3596",NA,NA,"ACH-000115"
"3597",NA,NA,"ACH-002205"
"3598",NA,NA,"ACH-002207"
"3599",NA,NA,"ACH-000162"
"3600",NA,NA,"ACH-000073"
"3601",NA,NA,"ACH-000349"
"3602",NA,NA,"ACH-000515"
"3603",NA,NA,"ACH-002208"
"3604",NA,NA,"ACH-002094"
"3605",NA,NA,"ACH-001489"
"3606",NA,NA,"ACH-001490"
"3607",NA,NA,"ACH-002245"
"3608",NA,NA,"ACH-002141"
"3609",NA,NA,"ACH-000294"
"3610",NA,NA,"ACH-000357"
"3611",NA,NA,"ACH-000653"
"3612",NA,NA,"ACH-000151"
"3613",NA,NA,"ACH-002253"
"3614",NA,NA,"ACH-000326"
"3615",NA,NA,"ACH-002254"
"3616",NA,NA,"ACH-002255"
"3617",NA,NA,"ACH-000193"
"3618",NA,NA,"ACH-000983"
"3619",NA,NA,"ACH-001106"
"3620",NA,NA,"ACH-000702"
"3621",NA,NA,"ACH-001358"
"3622",NA,NA,"ACH-000439"
"3623",NA,NA,"ACH-000362"
"3624",NA,NA,"ACH-000369"
"3625",NA,NA,"ACH-000745"
"3626",NA,NA,"ACH-002276"
"3627",NA,NA,"ACH-000129"
"3628",NA,NA,"ACH-000586"
"3629",NA,NA,"ACH-000727"
"3630",NA,NA,"ACH-000177"
"3631",NA,NA,"ACH-002289"
"3632",NA,NA,"ACH-000287"
"3633",NA,NA,"ACH-000065"
"3634",NA,NA,"ACH-000124"
"3635",NA,NA,"ACH-000751"
"3636",NA,NA,"ACH-002293"
"3637",NA,NA,"ACH-000218"
"3638",NA,NA,"ACH-001383"
"3639",NA,NA,"ACH-000922"
"3640",NA,NA,"ACH-001638"
"3641",NA,NA,"ACH-001639"
"3642",NA,NA,"ACH-002062"
"3643",NA,NA,"ACH-000271"
"3644",NA,NA,"ACH-002307"
"3645",NA,NA,"ACH-000365"
"3646",NA,NA,"ACH-000660"
"3647",NA,NA,"ACH-000611"
"3648",NA,NA,"ACH-000656"
"3649",NA,NA,"ACH-001203"
"3650",NA,NA,"ACH-000226"
"3651",NA,NA,"ACH-002313"
"3652",NA,NA,"ACH-001703"
"3653",NA,NA,"ACH-002316"
"3654",NA,NA,"ACH-000534"
"3655",NA,NA,"ACH-002175"
"3656",NA,NA,"ACH-001063"
"3657",NA,NA,"ACH-002140"
"3658",NA,NA,"ACH-000132"
"3659",NA,NA,"ACH-002146"
"3660",NA,NA,"ACH-000584"
"3661",NA,NA,"ACH-000688"
"3662",NA,NA,"ACH-001373"
"3663",NA,NA,"ACH-000091"
"3664",NA,NA,"ACH-002181"
"3665",NA,NA,"ACH-002182"
"3666",NA,NA,"ACH-000947"
"3667",NA,NA,"ACH-001630"
"3668",NA,NA,"ACH-001418"
"3669",NA,NA,"ACH-001500"
"3670",NA,NA,"ACH-002292"
"3671",NA,NA,"ACH-001368"
"3672",NA,NA,"ACH-001653"
"3673",NA,NA,"ACH-001654"
"3674",NA,NA,"ACH-001496"
"3675",NA,NA,"ACH-001497"
"3676",NA,NA,"ACH-001544"
"3677",NA,NA,"ACH-002101"
"3678",NA,NA,"ACH-002102"
"3679",NA,NA,"ACH-000917"
"3680",NA,NA,"ACH-002204"
"3681",NA,NA,"ACH-002167"
"3682",NA,NA,"ACH-002168"
"3683",NA,NA,"ACH-002189"
"3684",NA,NA,"ACH-002190"
"3685",NA,NA,"ACH-002191"
"3686",NA,NA,"ACH-002188"
"3687",NA,NA,"ACH-002187"
"3688",NA,NA,"ACH-002192"
"3689",NA,NA,"ACH-000714"
"3690",NA,NA,"ACH-000763"
"3691",NA,NA,"ACH-001617"
"3692",NA,NA,"ACH-000999"
"3693",NA,NA,"ACH-000989"
"3694",NA,NA,"ACH-000708"
"3695",NA,NA,"ACH-000955"
"3696",NA,NA,"ACH-000532"
"3697",NA,NA,"ACH-000991"
"3698",NA,NA,"ACH-000970"
"3699",NA,NA,"ACH-002233"
"3700",NA,NA,"ACH-000725"
