"","GSM8393322","GSM8393323","GSM8393324","GSM8393325","GSM8393326","GSM8393327","GSM8393328","GSM8393329","GSM8393330","GSM8393331"
"ENSG00000290736",0,0,0,0,0,0,0,0,0,0
"ENSG00000290737",1.2105,1.23549,1.21865,1.07539,1.68394,1.67101,1.35074,1.55688,1.5305,1.45376
"ENSG00000290739",0,0,0,0,0,0,0,0,0,0
"ENSG00000290740",0.249261,0.13129,0.0615905,0.170016,0.0389524,0.113807,0.136453,0.192862,0.0395208,0.157422
"ENSG00000290743",0,0,0,0,0,0,0,0,0,0
"ENSG00000290744",0,0,0,0,0,0,0,0,0,0
"ENSG00000290745",0,0,0,0,0,0,0,0,0,0
"ENSG00000290747",0,0,0,0,0,0,0.11056,0,0,0
"ENSG00000290749",0,0,0,0,0,0,0,0,0,0
"ENSG00000290752",0.019767,0.0234239,0,0,0,0,0,0,0,0.0351175
"ENSG00000290753",0.0781621,0.0588744,0.0795055,0.0508124,0.0448246,0.13228,0.063912,0.0300412,0.0970573,0.0458856
"ENSG00000290754",0.024074,0.0145576,0.0106148,0.0230176,0,0,0.0237407,0.0130049,0,0.010664
"ENSG00000290755",0.0996817,0.14444,0.217809,0,0.0539528,0.0545085,0.151621,0.053611,0.0553485,0.132615
"ENSG00000290756",0,0,0,0,0,0,0,0,0,0
"ENSG00000290761",0,0,0,0,0,0,0,0,0,0
"ENSG00000290762",0.217525,0.457717,0.371123,0.560802,0.309773,0.385284,0.645443,0.359956,0.213355,0.497475
"ENSG00000290765",0,0,0,0,0,0,0,0,0,0
"ENSG00000290766",0,0,0,0,0,0,0,0,0,0
"ENSG00000290767",0.0829898,0.197814,0.21484,0.323064,0.121074,0.1586,0.396312,0.163899,0.126071,0.151052
"ENSG00000290768",0,0,0.0250029,0,0,0,0.0272827,0,0,0
"ENSG00000290769",0.141853,0.163158,0.160639,0.111049,0.0993827,0.0515486,0.0219089,0.0739022,0.358638,0.302873
"ENSG00000290771",0,0,0,0,0,0,0,0,0,0
"ENSG00000290773",0,0,0,0,0,0,0,1.45814,1.56944,1.24069
"ENSG00000290776",0.198111,0.324284,0,0,0,0,0,0,0.224998,0.402241
"ENSG00000290778",0.0759965,0.165229,0.0922576,0.4017,0.0380486,0.43725,0.167669,0.151059,0.155221,0.371647
"ENSG00000290781",0.108071,0.0961314,0.023877,0.181611,0.0590529,0.0587271,0.0781293,0.0293027,0,0
"ENSG00000290785",0.616088,1.85573,0.921588,1.16958,1.13034,0.264573,1.38933,1.45942,0.706982,0.933364
"ENSG00000290786",0,0,0,0,0,0,0,0,0,0
"ENSG00000290787",0,0.138205,0,0.468004,0.158765,0,0.234342,0,0,0.124282
"ENSG00000290788",0,0,0.0127481,0.020773,0.00725218,0,0,0.0357275,0.0409034,0.0068117
"ENSG00000290789",0,0,0,0,0.116064,0,0,0,0,0
"ENSG00000290790",0,0.0616796,0,0,0,0.0288305,0.0369043,0,0,0
"ENSG00000290791",2.00463,2.4374,1.8892,2.20849,2.28839,1.61073,2.39277,2.4847,2.25579,2.30088
"ENSG00000290792",1.559,1.5712,1.48769,1.54741,1.82665,1.49754,1.27298,1.55361,1.623,1.21994
"ENSG00000290796",1.613903,1.392182,1.4991313,2.176575771,1.55897,0.748151,1.311026,2.0704995427,1.692826,2.024268
"ENSG00000290797",0,0,0,0,0,0,0,0,0,0
"ENSG00000290801",0,0,0,0,0,0,0,0,0,0
"ENSG00000290802",0,0,0,0.0704044,0,0,0,0,0.0816812,0
"ENSG00000290803",0.178945,0.151158,0.101396,0.13477,0.0835209,0.0968386,0.0749973,0.0551809,0.242566,0.0985413
"ENSG00000290804",0,0,0,0,0,0,0,0,0,0
