"","V1","preds","genes","ModelID","StrippedCellLineName","LN_IC50"
"165",1472267,0.833049,"MDM2","ACH-003071","NCIH748",4.722665
"166",1484017,0.70069355,"MDM2","ACH-002290","NKM1",-0.207585
"167",1488717,0.8611241,"MDM2","ACH-002170","NCIH1688",4.116583
"168",1491067,0.7106417,"MDM2","ACH-001064","EB2",4.201478
"169",1516917,0.74886084,"MDM2","ACH-001617","OCILY7",-0.584051
"170",1533367,0.60530066,"MDM2","ACH-001703","VAL",0.73543
"171",1549817,0.7574949,"MDM2","ACH-001373","OV17R",4.210114
"172",1570967,0.8451753,"MDM2","ACH-001489","CORL32",4.729609
"173",1620317,0.6189346,"MDM2","ACH-001716","GOTO",1.813338
"174",1648517,0.76558167,"MDM2","ACH-001384","RO82W1",7.167571
