"","mean","sd","max","min"
"TMCO3",-0.0453830609329372,0.116323200600487,0.407308647,-0.546978495
"TMCO4",-0.0820557865908319,0.112105546996211,0.445460247,-0.526111905
"TMCO5A",-0.0261868521162988,0.124110241697049,0.528491072,-0.655466878
"TMCO6",-0.221250411365025,0.196165951998009,0.275349677,-1.374224197
"TMED1",-0.0311331194524618,0.131934495832683,0.752369582,-0.550201638
"TMED10",-0.642530048687606,0.30356620211959,0.550777463,-2.365184757
"TMED2",-0.576652980315789,0.297985402371531,0.305985624,-1.755884882
"TMED3",0.0360715633650255,0.106694314053695,0.401811927,-0.335251605
"TMED4",-0.00388148605178268,0.120481399208636,0.423448308,-0.420327318
"TMED5",-0.114228378228353,0.124658201815439,0.384205182,-0.727616603
"TMED6",-0.102687251852292,0.0882815965361778,0.267671724,-0.459369209
"TMED7",-0.0502670286052632,0.113797691411731,0.355004966,-1.596884968
"TMED8",-0.0407089606162988,0.121846567623225,0.562875799,-0.480755252
"TMED9",-0.066428929606961,0.147825417525358,0.477384417,-1.1011755
"TMEFF1",0.0590986013463497,0.123969912035451,0.574671122,-0.587898033
"TMEFF2",-0.0152398213140917,0.126407689242213,0.857874667,-0.495658525
"TMEM100",0.089835088827674,0.0976602424086938,0.708111381,-0.335992012
"TMEM101",-0.128251968985569,0.122484731877478,0.242933834,-0.596406796
"TMEM102",-0.111028233501698,0.100752193897805,0.304940742,-0.526854564
"TMEM104",-0.115309747882003,0.110852223378385,0.323050974,-0.551989565
"TMEM106A",-0.140866683931239,0.122868975330468,0.4547614,-0.814429651
"TMEM106B",0.0485945108718166,0.133439908532929,0.564211105,-0.514342802
"TMEM106C",-0.0027408405475382,0.127176149348039,0.515145431,-0.732969455
"TMEM107",0.0112057846315789,0.113073707153763,0.490644748,-0.921523956
"TMEM108",0.0108215867334465,0.0912894069882383,0.407946477,-0.389031085
"TMEM109",0.0152288921188455,0.0834708677598187,0.346928557,-0.34273861
"TMEM11",-0.253385565120543,0.145473049090278,0.585482261,-1.334362139
"TMEM115",-0.0428738358013582,0.106786416121514,0.329845046,-0.497208346
"TMEM116",-0.0403552882368421,0.091763885068718,0.307283216,-0.572973941
"TMEM117",-0.0149381240874363,0.118834161477282,0.415836344,-0.570476418
"TMEM119",-0.110919672185908,0.109766367046724,0.321815311,-1.552078849
"TMEM120A",0.143442787696275,0.0846611955211898,0.58188443,-0.404611972
"TMEM120B",-0.0341294870747029,0.105720866840278,0.360924917,-0.555068853
"TMEM121",-0.0257157224482173,0.118233505452742,0.427445048,-0.722593576
"TMEM121B",-0.0313086526179966,0.122301715974636,0.379959254,-0.601816466
"TMEM123",0.0885147536561969,0.122887094867351,0.578459741,-0.468799373
"TMEM125",-0.00773419207470289,0.095352986536358,0.417533065,-0.390073454
"TMEM126A",0.0263017554745331,0.103539929435189,0.410615517,-0.399719818
"TMEM126B",-0.113527864966044,0.140434225096949,0.562757048,-0.903467145
"TMEM127",-0.234930217494058,0.189485487906456,0.329780208,-0.981515759
"TMEM128",0.0384179091663837,0.0941302776676932,0.371162817,-0.371039906
"TMEM129",-0.00760269610186757,0.113514316817377,0.456242449,-0.471117933
"TMEM130",-0.0472867731655348,0.153426960197036,0.492022551,-0.805176234
"TMEM131",0.00777691693803056,0.155636373162803,0.563353343,-1.021444951
"TMEM131L",0.11311541172326,0.104160494263296,0.60556524,-0.526008864
"TMEM132A",0.0413989483106961,0.14014428599487,0.616967463,-0.450373131
"TMEM132B",0.0775079414252971,0.106255900229783,0.465008524,-0.328959881
"TMEM132D",0.0246726003650255,0.113843486867191,0.518505876,-0.521081633
"TMEM132E",-0.0774584879643463,0.103502748251895,0.279816278,-0.480138142
"TMEM134",-0.0485935234651952,0.111753461848956,0.339161236,-0.640663
"TMEM135",0.00287278138370119,0.116963707573614,0.412672647,-0.451081724
"TMEM138",-0.0956227736893039,0.0902349512361773,0.44334603,-0.475296924
"TMEM139",0.061919092820034,0.122040908992246,0.664729843,-0.397715461
"TMEM140",0.0309444157393888,0.117862767887165,0.724788649,-0.62330148
"TMEM141",-0.0998433540424448,0.120353443727912,0.322112753,-0.551834946
"TMEM143",-0.0604248726612903,0.106965392461563,0.348288336,-0.501018395
"TMEM144",0.0612645459083192,0.087924130184695,0.433646886,-0.293464605
