ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BENPORATH_EED_TARGETS,BENPORATH_EED_TARGETS,32,0.311536433,1.840889785,0.017241379,0.063768355,0.042766957,267,"tags=47%, list=21%, signal=38%",ISL1/HOXD13/GATA3/ASCL1/FLI1/PARD3/DUSP4/PAX8/ZBTB7A/ZEB2/MYB/DPY19L2/EGFR/UBE2K/AHR
PID_LKB1_PATHWAY,PID_LKB1_PATHWAY,10,0.50492144,1.801791079,0.017295597,0.063816214,0.042799054,310,"tags=70%, list=24%, signal=54%",TP53/TSC1/TSC2/CAB39/MARK2/STK11/GSK3B
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_11,YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_11,24,-0.315110061,-1.971561989,0.017361111,0.063905423,0.042858883,496,"tags=75%, list=38%, signal=47%",HSP90B1/TFRC/STRAP/CYCS/GMPPB/AK6/RRS1/PELO/BOP1/EPRS1/NIFK/MAK16/AARS1/MARS1/UTP4/TARS1/SRSF3
KEGG_ALZHEIMERS_DISEASE,KEGG_ALZHEIMERS_DISEASE,48,0.258197912,1.790538515,0.017412935,0.063943938,0.042884714,951,"tags=98%, list=73%, signal=27%",NDUFV2/MAPK1/GSK3B/FADD/NDUFA3/NDUFA2/CHP1/NDUFC1/NDUFA10/NDUFA4/NDUFC2/NDUFB2/SDHD/NDUFS8/UQCR10/NDUFA1/COX7C/ATP5PO/UQCRB/NDUFB6/NDUFS5/NDUFB8/COX4I1/NDUFA8/NDUFA6/NDUFA9/UQCRC2/NDUFS3/NDUFB7/COX6A1/ATP5PB/NDUFB3/NDUFS2/NDUFS7/COX5A/NDUFB9/COX6C/NDUFB10/CYC1/ATP5F1D/COX7B/NDUFS1/ATP5F1C/ATP5F1A/ATP5F1B/ATP5F1E/SDHC
NAGASHIMA_NRG1_SIGNALING_UP,NAGASHIMA_NRG1_SIGNALING_UP,15,0.421381205,1.803028433,0.017621145,0.064555191,0.043294658,461,"tags=73%, list=36%, signal=48%",LDLR/SNAI2/FERMT2/DUSP4/JUNB/TIPARP/IRS2/FOSL1/JMJD6/VCL/JUN
QI_PLASMACYTOMA_UP,QI_PLASMACYTOMA_UP,13,0.445748527,1.793477218,0.018209408,0.066552589,0.044634234,279,"tags=62%, list=21%, signal=49%",IRF2/ITGB1/PTPN1/TLN1/MYCN/MYB/CAP1/TUBB3
KEGG_COLORECTAL_CANCER,KEGG_COLORECTAL_CANCER,18,0.391712597,1.81660407,0.018387553,0.066793398,0.044795736,547,"tags=78%, list=42%, signal=46%",TGFBR1/TP53/BRAF/TCF7L2/RAF1/MAPK1/PIK3R1/CTNNB1/GSK3B/PIK3CB/PIK3CA/JUN/APC/RAC3
REACTOME_RAC1_GTPASE_CYCLE,REACTOME_RAC1_GTPASE_CYCLE,18,0.390124639,1.809239766,0.018387553,0.066793398,0.044795736,337,"tags=61%, list=26%, signal=46%",ARHGEF7/GNA13/BRK1/ITGB1/FERMT2/DOCK5/PAK2/SOS1/ARHGAP29/PIK3R1/PKN2
BLUM_RESPONSE_TO_SALIRASIB_DN,BLUM_RESPONSE_TO_SALIRASIB_DN,61,-0.182159142,-1.771711156,0.018404908,0.066793398,0.044795736,827,"tags=84%, list=64%, signal=32%",LMNA/KPNA2/APC/EZH2/MRE11/ACLY/KIF2C/CCND3/SYNCRIP/RBBP7/HDAC1/TFDP1/LIG1/NDUFB3/MRPL23/ZWINT/NPEPPS/FANCA/KIF20A/NUP50/SKP2/TUBB4B/ACACA/TRA2B/SRSF6/SMARCE1/VRK1/H2AZ1/HMGB1/UBE2C/ATP5MF/NFYB/CDK2/TPI1/TYMS/PKM/SRSF10/UBE2N/KIF4A/FBXO5/AURKA/DUT/MAD2L1/KIF23/ESPL1/AURKB/RPA3/SNRPA1/SRSF3/SNRPD1
PUJANA_CHEK2_PCC_NETWORK,PUJANA_CHEK2_PCC_NETWORK,184,-0.109121067,-1.697826179,0.018518519,0.066891658,0.044861635,827,"tags=77%, list=64%, signal=32%",PAXIP1/DPH2/GLMN/KPNA2/KHSRP/EZH2/FUBP1/EIF5AL1/MRE11/ATP5PO/ACLY/KIF2C/GTSE1/SMARCA4/TOE1/RB1CC1/SYNCRIP/IPO5/HDAC1/HNRNPF/PRDX1/POT1/PRKRA/EED/ZNHIT3/GCSH/PFDN4/UTP3/YWHAE/C1QBP/HIRA/G3BP1/HK2/FDPS/UBE2S/TFDP1/MRPL58/MRPL3/CNOT9/LIG1/NDUFB3/SMG7/SNRPB2/COX11/COX6C/ZWINT/PTMA/SSBP1/KRAS/FANCI/COX7B/DDX52/TRA2B/SSB/UBAP2L/EIF3H/TFRC/VRK1/H2AZ1/UBE2D3/CDK4/LSM6/GTF2H4/KIF14/UBE2C/PAICS/ATP5MF/SUZ12/TAF2/EEF1B2/IARS2/CENPI/NUP62/DBF4/CCNB1/NPM1/CYCS/NFYB/PELP1/BTF3/WTAP/CENPC/TYMS/HNRNPC/CKS1B/PPIA/NMT1/SEM1/SRSF10/AATF/UBE2N/GTF3A/RRS1/PABPC1/CENPE/TARDBP/RAD9A/SEC61G/XRCC5/MCM4/BOP1/YBX1/NUTF2/ELOC/GTF2E2/AURKA/EIF2S2/DUT/RAD21/CCT8/NACA/PSMC2/HSPD1/DDX10/PSMA4/POP5/MYC/CPSF4/MAD2L1/MAK16/LSM7/KARS1/POLR2G/LSM3/RPS27A/POLR2H/IARS1/ERH/DARS1/SNRPG/ESPL1/AURKB/RPS7/RPA3/RPL6/SNRPA1/RPL23/SRSF3/PSMA6/HSPE1
REACTOME_METABOLISM_OF_RNA,REACTOME_METABOLISM_OF_RNA,165,-0.384321205,-5.724587606,0.018518519,0.066891658,0.044861635,489,"tags=77%, list=38%, signal=55%",NUP50/GEMIN4/NUP35/RPL28/RTCB/POM121C/DDX52/TRA2B/NUP58/RPL22/ZRSR2/SRSF6/CCAR1/LSM6/GTF2H4/UTP11/CSTF2/TGS1/EIF4B/NUP62/XPOT/GEMIN7/GEMIN6/NDC1/PELP1/RPL10/SNUPN/WTAP/SYF2/THG1L/DDX5/HNRNPC/NXF1/DDX42/HNRNPA1/SEM1/GTF2F2/SRSF10/PDCD7/RPP21/CPSF1/POP1/PHAX/TBL3/PABPC1/POLR2K/EXOSC4/RPL26/THOC3/TFIP11/EXOSC6/RBM8A/BOP1/YBX1/PCBP2/RPLP1/DHX16/DHX37/RPL37/RPL35/RPL7/RPL36A/PSMC2/RPS28/IMP3/BUD23/PSMA4/RPL30/POP5/EPRS1/RBM22/PCBP1/TRNT1/CPSF4/SNRNP25/RPS5/MTREX/THOC2/RPS17/RPS24/LSM7/RPL13A/LSM8/POLR2G/UTP4/LSM3/RPS27A/CDK7/POLR2H/TRMT112/RPL14/RPL24/RPL36/RPL37A/SNRPG/SF3B4/RPS14/RPL7A/RPL8/RPS7/SF3B6/RPS16/RPS23/RPL32/RPS3/RPL6/RPL5/FAU/PRPF38A/SNU13/SF3A3/LSM2/SF3B5/PHF5A/RPS19/RPL21/SNRPA1/RPL23/RPS3A/RPS20/PUF60/PSMB3/SRSF3/SNRPD1/PSMA6/RPL17
FISCHER_DREAM_TARGETS,FISCHER_DREAM_TARGETS,174,-0.153947785,-2.345806604,0.018867925,0.067836771,0.045495485,524,"tags=59%, list=40%, signal=40%",H2AX/NXT1/CEP55/FANCM/DSCC1/FANCI/KIF20A/TUBA1C/NUP50/DDX11/NUP35/SKP2/RHEB/ACACA/TRA2B/RMI1/NUP58/BCLAF1/VRK1/ASPM/H2AZ1/UBE2D3/CDK4/HMGB1/CENPO/CIT/KIF14/SLC3A2/BRIP1/UBE2C/DCLRE1B/ESCO2/PAICS/SUZ12/H2AC15/CLSPN/NUP62/DBF4/CCNB1/H2BC21/PPAT/NDC1/TEDC1/CDK2/CENPC/H2BC9/H2BC13/H2AC20/CKS1B/HNRNPA1/SASS6/NCAPH2/SIN3A/NCAPG2/KNL1/SRSF10/NCAPD3/H2AC17/TIPIN/KIF4A/CENPE/RAD9A/SGO1/H2BC6/PKMYT1/MCM4/RBM8A/FBXO5/HAUS6/MIS12/AHCTF1/AURKA/MZT1/DUT/RAD21/GINS4/GARS1/MED30/HSPD1/DDX10/CDCA8/MYC/TONSL/CENPK/MAD2L1/ANAPC1/SNRNP25/H2BC4/AARS1/MARS1/UTP4/LSM3/MTBP/KIF23/TARS1/ESPL1/AURKB/POLR1F/SRSF3/SNRPD1/HSPE1
PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,10,0.497162327,1.77410301,0.018867925,0.067836771,0.045495485,342,"tags=70%, list=26%, signal=52%",FOXA1/SOX2/CAP1/CREBBP/RICTOR/PIK3R1/ANKRD11
PID_IL2_1PATHWAY,PID_IL2_1PATHWAY,15,0.417880552,1.788049651,0.019089574,0.068474435,0.045923142,461,"tags=73%, list=36%, signal=48%",SHC1/MAPK14/SOCS3/SOS1/RAF1/MAPK1/NRAS/PIK3R1/IRS2/PIK3CA/JUN
FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,25,0.330818169,1.737718278,0.019746121,0.070665517,0.047392616,237,"tags=44%, list=18%, signal=37%",CDKN1A/ITGA3/TP53/PTEN/FBXW7/MON2/YAP1/PARD6B/BCL6/SUPT7L/RFK
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME,WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME,12,0.446594925,1.745669545,0.019847328,0.070808495,0.047488505,141,"tags=50%, list=11%, signal=45%",NF2/FBXW7/PXN/PAK2/ERBB2/CEP43
ZHU_CMV_8_HR_DN,ZHU_CMV_8_HR_DN,14,0.439210145,1.812494667,0.019877676,0.070808495,0.047488505,519,"tags=79%, list=40%, signal=48%",RUNX1/TP53BP1/TCF7L2/MAPK14/AHR/MYH9/TFAP4/CDC25B/ZFP36L1/LMNA/TFAP2A
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,11,-0.436909845,-1.825640298,0.020172911,0.071633769,0.048041984,423,"tags=82%, list=33%, signal=56%",CSTF2/CPSF1/THOC3/RBM8A/CPSF4/THOC2/SNRPG/SRSF3
WHITEFORD_PEDIATRIC_CANCER_MARKERS,WHITEFORD_PEDIATRIC_CANCER_MARKERS,19,-0.331103249,-1.851230405,0.02020202,0.071633769,0.048041984,553,"tags=68%, list=43%, signal=40%",KIF14/UBE2C/DBF4/CCNB1/TYMS/CKS1B/CENPE/MCM4/AURKA/CDCA8/MAD2L1/ESPL1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,10,0.490986569,1.752065076,0.020440252,0.071656755,0.0480574,547,"tags=90%, list=42%, signal=52%",MAPK14/SOS1/RAF1/MAPK1/NRAS/PIK3R1/PIK3CB/PIK3CA/RAC3
PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY,10,0.479367298,1.710602192,0.020440252,0.071656755,0.0480574,437,"tags=80%, list=34%, signal=53%",MAPK14/RAF1/MAPK1/NRAS/RICTOR/PIK3R1/PIK3CB/PIK3CA
REACTOME_IRS_MEDIATED_SIGNALLING,REACTOME_IRS_MEDIATED_SIGNALLING,10,0.483058275,1.723773288,0.020440252,0.071656755,0.0480574,437,"tags=80%, list=34%, signal=53%",GAB1/SOS1/FGFR1/NRAS/PIK3R1/PIK3CB/IRS2/PIK3CA
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,REACTOME_SIGNALING_BY_ERYTHROPOIETIN,10,0.481792246,1.719255516,0.020440252,0.071656755,0.0480574,437,"tags=80%, list=34%, signal=53%",GAB1/SHC1/SOS1/NRAS/PIK3R1/PIK3CB/IRS2/PIK3CA
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP,WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP,10,0.486699817,1.73676798,0.020440252,0.071656755,0.0480574,326,"tags=70%, list=25%, signal=53%",FDFT1/SLC35A2/TM9SF3/GNPNAT1/ERBB3/TNPO1/KLF5
LU_EZH2_TARGETS_DN,LU_EZH2_TARGETS_DN,36,0.284083557,1.762368152,0.020671835,0.072304652,0.04849192,325,"tags=50%, list=25%, signal=39%",ATP2B1/GNA13/CTNNA1/CRK/PICALM/DNAAF5/CCNE1/BCL9/ANKRD17/EXT2/EGFR/ATP2C1/LRP8/SPTLC1/CBFB/DNAJC13/IRS2/DCP2
