ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,ids
REACTOME_HCMV_EARLY_EVENTS,REACTOME_HCMV_EARLY_EVENTS,32,-0.273457785,-1.94897513,0.004926108,0.027590392,0.01647496,763,"tags=88%, list=59%, signal=37%",EED/DAXX/TRIM28/SUZ12/TBL1XR1/TUBB3/NUP62/RBBP7/NUP58/H2AC15/NUP50/H2AC17/HDAC3/NUP35/NDC1/TUBA1C/H2AC20/TUBB4B/H2BC21/DYNLL1/H2BC13/H2BC15/H2BC9/H2BC11/H2BC6/H2BC4/DYNC1I2,265
PHONG_TNF_RESPONSE_VIA_P38_COMPLETE,PHONG_TNF_RESPONSE_VIA_P38_COMPLETE,31,0.359680497,2.06246652,0.005050505,0.027590392,0.01647496,581,"tags=77%, list=45%, signal=44%",MAP4K4/TGIF1/ATP2B1/DERL2/SHC1/STX4/SOS1/CCNL1/ARID4B/STK11/CRK/KMT2A/GET1/ACSL3/EXT1/KDM2A/DLG5/SLC7A1/NDUFB2/ACACA/RPRD2/LARP1/ZMYND8/VPS35,266
MCCABE_BOUND_BY_HOXC6,MCCABE_BOUND_BY_HOXC6,29,0.355882894,1.986078768,0.00505689,0.027590392,0.01647496,392,"tags=62%, list=30%, signal=44%",FLCN/COP1/PAK2/SPTLC2/RUNX1/FERMT2/VPS4B/KLF5/AMBRA1/KCTD10/SQLE/PARD6B/JMJD6/ALDH18A1/PDE4DIP/FBXO7/OTUD5/NDUFS3,267
FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP,FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP,34,-0.31876807,-2.36232771,0.005102041,0.027590392,0.01647496,708,"tags=88%, list=55%, signal=41%",NDUFA9/EAF1/KIF2C/ZWINT/KPNA2/CHTF18/SYNCRIP/KNTC1/NAMPT/NDC1/UBR5/FANCM/BRIP1/H2AZ1/CCNB1/CEP55/DBF4/EP400/CENPE/NCAPG2/MCM3AP/KNL1/CENPK/ESPL1/KIF23/ERH/RPA3/SNRPA1/SNRPD1,268
FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP,FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP,34,-0.264547202,-1.96050748,0.005102041,0.027590392,0.01647496,494,"tags=71%, list=38%, signal=45%",SETD1A/VDAC1/ACTB/TFRC/CAPZB/ATP5F1A/TAF7/HYOU1/ZPR1/TUBGCP2/IK/EIF3F/RACK1/EEF1B2/PSMA4/RPL35/SARS1/SF3B4/SRSF3/RPS23/RPL23/LSM2/RPS20,269
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN,FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN,34,-0.276530655,-2.049314503,0.005102041,0.027590392,0.01647496,672,"tags=82%, list=52%, signal=41%",ZWINT/KPNA2/GTSE1/KIF18B/KNTC1/ASPM/ESCO2/KIF14/UBE2C/KIF20A/BRIP1/POC1A/CCNB1/FBXO5/CKS1B/CENPE/NCAPG2/SGO1/KIF4A/AURKA/FANCI/CDCA8/CENPK/MAD2L1/ESPL1/AURKB/KIF23,270
KIM_MYC_AMPLIFICATION_TARGETS_UP,KIM_MYC_AMPLIFICATION_TARGETS_UP,34,-0.274958734,-2.037665305,0.005102041,0.027590392,0.01647496,757,"tags=88%, list=58%, signal=38%",SLC39A10/ACLY/IDH3A/HSD17B12/MRPS34/COX7B/MRPL13/GPI/VRK1/SSBP1/MRPS2/TRMT10C/MRPL36/ATP5F1B/CYCS/SSB/TIPIN/PAICS/PPAT/UTP4/MYC/NIFK/EIF2S2/HSPD1/MAK16/KARS1/RSL24D1/RPL5/RPS23,271
KEGG_RIBOSOME,KEGG_RIBOSOME,40,-0.755342553,-6.085664951,0.005128205,0.027590392,0.01647496,252,"tags=95%, list=19%, signal=79%",RPL26L1/RPL22/RPLP1/RPL10/RPL30/RPS17/RPL7/RPS5/RPS7/RPL37/RPS28/RPL35/RPS27A/RSL24D1/RPL36A/RPL24/RPL37A/RPL7A/RPL13A/RPL36/RPS24/RPL5/FAU/RPL6/RPS3/RPL14/RPS16/RPS23/RPL26/RPL23/RPL8/RPL32/RPS20/RPS19/RPS3A/RPL21/RPL17,272
REACTOME_MITOTIC_PROMETAPHASE,REACTOME_MITOTIC_PROMETAPHASE,40,-0.269666654,-2.172657821,0.005128205,0.027590392,0.01647496,689,"tags=82%, list=53%, signal=40%",CSNK2A1/KIF2C/ZWINT/TUBB3/STAG2/CENPP/KNTC1/YWHAE/NUMA1/TUBA1C/TUBB4B/CENPI/CENPO/TUBGCP5/CENPC/CCNB1/DYNLL1/CENPE/AHCTF1/TUBGCP2/ACTR1A/SGO1/KNL1/HAUS6/RAD21/MZT1/MIS12/CDCA8/CENPK/MAD2L1/AURKB/DYNC1I2,273
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER,ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER,40,-0.282503853,-2.276084928,0.005128205,0.027590392,0.01647496,672,"tags=82%, list=52%, signal=41%",ZWINT/KPNA2/TRIP13/GTSE1/KIF18B/ASPM/UBE2S/HMGA1/KIF14/CCNF/UBE2C/KIF20A/TYMS/H2AZ1/CCNB1/CEP55/DBF4/FBXO5/DPAGT1/CENPE/GINS4/MCM4/KIF4A/AURKA/FANCI/CDCA8/PRELID3B/MAD2L1/ESPL1/AURKB/KIF23/RPA3,274
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7,PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7,28,0.351533291,1.92658255,0.005167959,0.027590392,0.01647496,588,"tags=75%, list=45%, signal=42%",CDKN1A/PIK3R1/TP53/ITGA3/ITGB1/WWTR1/LMNB1/SLC35A1/SOX2/ITGB5/EZH2/WDR26/PXN/LDLR/ANKRD11/ITPK1/KCTD5/SLC4A7/NDUFS1/CFLAR/HK2,275
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,27,0.358435389,1.940456712,0.005174644,0.027590392,0.01647496,239,"tags=48%, list=18%, signal=40%",KIRREL1/ZEB1/MAP4K4/PICALM/WWTR1/SNAI2/SOCS3/FLI1/EGFR/FOSL1/ITGAV/GLS/TEAD1,276
FUJII_YBX1_TARGETS_DN,FUJII_YBX1_TARGETS_DN,33,-0.256797027,-1.83390164,0.005181347,0.027590392,0.01647496,653,"tags=79%, list=50%, signal=40%",ZWINT/IPO5/NUP62/VRK1/TRIP13/UBE4B/ASPM/SKP2/CCNF/CDK2/LIG1/BRIP1/H2AX/FBXO5/MAD2L2/CKS1B/NCAPG2/TIPIN/MCM4/KIF4A/DUT/FANCI/CENPK/MAD2L1/KIF23,277
