"","genes","diff_","t_","p_"
"271","CEP85",0.0766315200000001,-1.23071407495809,0.386873390082056
"272","CEPT1",0.02296537,-0.756726528682154,0.576984180977747
"273","CERS2",0.00676387499999997,-0.104918869112834,0.930301100434642
"274","CFAP20",-0.01189018,0.323545538004296,0.779693697866132
"275","CFAP298",-0.00467938000000001,0.38445608679804,0.748065870882827
"276","CFL1",0.035087845,-0.853172776931172,0.520515472126598
"277","CFLAR",0.0403412399999999,-1.22033391393272,0.410291029861582
"278","CHAF1A",0.0437023,-1.21517591533141,0.348284520424132
"279","CHAF1B",-0.0466946549999999,1.09062583422666,0.466117841532515
"280","CHCHD4",-0.0023393450000001,0.0741456488105863,0.951555458935631
"281","CHD1",0.035120075,-7.88404083284645,0.0200571697804635
"282","CHD4",-0.0072065,0.207373459480762,0.867860339007464
"283","CHD7",0.119201155,-3.2087012152471,0.156352068115733
"284","CHD8",-0.035590575,0.482969447923722,0.693271001501585
"285","CHEK1",-0.00103094500000001,0.0473317729661956,0.966568907449709
"286","CHERP",0.00739485499999992,-0.141065822926537,0.902906454537001
"287","CHKA",0.0100045750000001,-0.365498304842366,0.749915450604707
"288","CHMP2A",0.0350217150000001,-1.57043573656463,0.341284554332326
"289","CHMP3",0.19723492,-1.06844555647295,0.478155022714061
"290","CHMP4B",-0.05502422,0.703593079998366,0.576630744512058
"291","CHMP5",0.119657775,-2.36120111198524,0.153161851992399
"292","CHMP6",-0.014817745,0.242710574908494,0.834417065919928
"293","CHMP7",0.03653952,-1.73723873897656,0.284099719458796
"294","CHORDC1",0.05807552,-1.2902451339982,0.409184500511458
"295","CHP1",0.0487368100000001,-1.36293071273511,0.35161878126235
"296","CHTF18",0.0654440600000001,-2.31598154442433,0.214068515960673
"297","CHTF8",0.02925365,-0.226608756404457,0.84942781162682
"298","CIAO1",0.040375955,-0.537975046260397,0.684315338386044
"299","CIAO2A",0.018158345,-0.261566712995338,0.837052741315754
"300","CIAO2B",-0.00881732999999996,0.509697705888452,0.695339610958337
"301","CIAO3",-0.11340316,1.12580805095225,0.459249213313882
"302","CIAPIN1",-0.000818450000000026,0.0209713053512897,0.985623306833414
"303","CINP",-0.029194845,0.299002807445909,0.813769377730901
"304","CIT",-0.026404,0.686349541439687,0.609996052655616
"305","CKAP5",-0.032500705,1.13877144364018,0.376175562148837
"306","CKS1B",0.0284529299999999,-0.312983415439971,0.806178860574699
"307","CLASRP",0.0645006699999999,-1.13281108566953,0.44202689635219
"308","CLNS1A",0.0521690650000001,-0.907459385689706,0.503625969618729
"309","CLP1",-0.01986031,0.571617380155823,0.667358373163645
"310","CLPB",0.02205726,-0.490727818376273,0.699317758089428
"311","CLSPN",0.048393735,-1.79945702162532,0.227098905472379
"312","CLTC",-0.00278099499999995,0.809672167107571,0.525638691982815
"313","CMIP",0.066671245,-1.63856776160208,0.33809169473038
"314","CMPK1",0.10760127,-1.55081181504588,0.314396480579517
"315","CMTR1",0.08566524,-1.01573138432686,0.417608472385016
"316","CNIH4",0.041128605,-1.34329690268914,0.335961785132252
"317","CNOT1",0.0732353700000001,-1.6219585728,0.281935867100101
"318","CNOT11",0.165933115,-1.3497368688437,0.401135803487483
"319","CNOT2",0.046045885,-1.1723486418318,0.406075377654173
"320","CNOT3",0.0159706799999999,-0.608416052346505,0.605435731841659
"321","CNOT4",0.080462615,-3.68001079827211,0.131764280945768
"322","CNOT9",0.105282465,-2.61526527961767,0.221479515616981
"323","COA3",0.0873899450000001,-3.22439784674549,0.100379119821531
"324","COA5",-0.00430554000000005,0.176196606675155,0.886423384995352
"325","COA6",0.02315365,-0.832887181321997,0.557424037680104
"326","COASY",0.03598757,-0.964870818013283,0.450458395523598
"327","COG1",0.0526935000000001,-1.23712918436206,0.370308784081759
"328","COG2",0.0934903200000001,-3.31052058715299,0.095810123324884
"329","COG3",0.073985285,-6.61245967640473,0.0947491281376314
"330","COG5",0.05447572,-1.97083743369136,0.268392077899144
"331","COG7",0.0945482400000001,-1.07193213155244,0.434785336976499
"332","COG8",0.05034565,-1.28488115466484,0.415273309676426
"333","COP1",0.026673255,-0.882476134288913,0.527266946762305
"334","COPA",-0.00888817500000005,0.177634880852165,0.877374348506858
"335","COPB1",0.00526352499999999,-0.10320787680087,0.934524356768848
"336","COPB2",-0.01231434,0.329726837644945,0.794933512187305
"337","COPE",0.0370191950000001,-1.05351556025479,0.405347426268792
"338","COPG1",0.0467727500000001,-0.969327821519078,0.435910429488211
"339","COPS2",0.00890438000000005,-0.480874778643355,0.714246822384302
"340","COPS3",0.052848405,-0.93353098458999,0.452347669781143
"341","COPS4",0.0747688949999999,-1.72614474103462,0.276345818512772
"342","COPS5",0.0184186500000001,-3.43109830451415,0.111253813610117
"343","COPS6",-0.0441692200000001,2.46549591830716,0.208983341813218
"344","COPS8",0.00188353999999991,-0.0533214653773027,0.965572984751239
"345","COPZ1",0.04159939,-0.44497701298063,0.705722753015816
"346","COQ2",0.04299604,-1.01768983865823,0.49323681975619
"347","COQ4",0.0229049100000001,-1.08895518160451,0.467704697368481
"348","COQ7",0.044921015,-1.02737542114704,0.455746684944178
"349","COX10",0.03968852,-3.62944931547396,0.103731797676855
"350","COX11",0.0224699500000001,-0.878847437868775,0.475651080431476
"351","COX15",0.039808135,-2.82720587318544,0.216344676923462
"352","COX17",4.32500000002722e-06,-0.000377684041448762,0.999757397714375
"353","COX18",0.13009366,-2.46259515806288,0.143406528897014
"354","COX19",0.00169670500000008,-0.0667416211866593,0.955083018307711
"355","COX4I1",0.026566835,-4.0629014210929,0.103608786206845
"356","COX5A",0.03066684,-2.76450040444424,0.214605745876657
"357","COX5B",0.0324021,-2.7538392975676,0.138717850347563
"358","COX6A1",0.0406322499999999,-4.36654099617484,0.0786631148945692
"359","COX6B1",0.07598072,-1.60858414920494,0.250171619850077
"360","COX6C",0.01529015,-0.815915468791591,0.50321474710998
"361","COX7B",0.0770040999999999,-0.997861305275527,0.485241662180041
"362","COX7C",0.0333687850000001,-2.01393585354145,0.267996441346715
"363","CPOX",0.033835465,-6.86342749189079,0.0835844462572132
"364","CPSF1",0.03228485,-1.5659133471957,0.265690514457473
"365","CPSF2",0.0107492,-1.15562298853878,0.367784328527319
"366","CPSF3",-0.00847438,0.310595877194333,0.80448471077783
"367","CPSF4",-0.060974195,1.74706220617736,0.287452681593904
"368","CPSF6",0.02598767,-0.310961030777746,0.78546766197415
"369","CRAMP1",-0.013436205,0.197314120448808,0.868620281010303
"370","CRCP",0.00926823999999993,-0.915261238890381,0.52645793794172
"371","CREBBP",0.0692782299999999,-1.79242947090009,0.256091892626188
"372","CRK",0.0598416349999999,-4.0423888168591,0.118572628465705
"373","CRKL",-0.00182949500000007,0.0897903332617596,0.940815297943949
"374","CRLS1",0.0673861,-1.89692151566556,0.205605118524175
"375","CRNKL1",0.0333934350000001,-2.52445102894155,0.20779934977942
"376","CRTC3",0.05848688,-1.52738633263549,0.332869064073079
"377","CSDE1",-0.0275406499999999,0.640339031843923,0.594212615460792
"378","CSE1L",-0.052707185,1.38147546002341,0.393380634216509
"379","CSH2",0.13168138,-2.87914431774238,0.115023301694749
"380","CSK",0.04415275,-3.02674912491351,0.169745671347478
"381","CSNK1A1",0.00377808499999999,-0.128910238672729,0.913459119910244
"382","CSNK2A1",0.12164638,-8.1671181174654,0.0162023486283264
"383","CSNK2B",0.01394407,-0.422853107219602,0.730914279713627
"384","CSTF1",0.0536140949999999,-1.2873367365578,0.327050605974755
"385","CSTF2",0.0609506500000001,-0.381927745570979,0.763142583479548
"386","CSTF3",0.025802675,-1.04614124766634,0.476155948474391
"387","CTC1",0.1207466,-1.29510266333853,0.371810938196558
"388","CTCF",0.01889811,-0.315946543139089,0.801422483017667
"389","CTDNEP1",0.0638529800000001,-10.3167053868083,0.0153199332226183
"390","CTDP1",-0.058022035,1.52608089132134,0.355691270511396
"391","CTDSPL2",0.029291555,-0.766055675248574,0.575732685409414
"392","CTNNA1",0.05601965,-4.34094223793647,0.106537914435755
"393","CTNNB1",0.0461455049999999,-5.41148438309397,0.0787941397174653
"394","CTNNBL1",0.10103824,-1.94544524956802,0.228272651600158
"395","CTPS1",0.12373422,-5.7756116852965,0.0293839145131911
"396","CTR9",0.00589642000000001,-0.832134220937509,0.502653210767775
"397","CTU1",0.025199675,-14.7288031947995,0.022967421747938
"398","CTU2",0.024314355,-17.7685680173669,0.0343909731759131
"399","CUL1",0.08668338,-3.78017921122742,0.116007630555425
